path,duration,emotion,dataset
D:/Data/RAVDESS/Actor_01\03-01-01-01-01-01-01.wav,3.303,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-01-01-01-02-01.wav,3.337,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-01-01-02-01-01.wav,3.27,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-01-01-02-02-01.wav,3.17,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-02-01-01-01-01.wav,3.537,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-02-01-01-02-01.wav,3.604,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-02-01-02-01-01.wav,3.503,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-02-01-02-02-01.wav,3.47,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-02-02-01-01-01.wav,3.704,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-02-02-01-02-01.wav,4.004,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-02-02-02-01-01.wav,4.204,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-02-02-02-02-01.wav,4.004,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-03-01-01-01-01.wav,3.47,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-03-01-01-02-01.wav,3.47,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-03-01-02-01-01.wav,3.537,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-03-01-02-02-01.wav,3.704,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-03-02-01-01-01.wav,3.67,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-03-02-01-02-01.wav,3.637,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-03-02-02-01-01.wav,3.937,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-03-02-02-02-01.wav,3.937,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-04-01-01-01-01.wav,3.837,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-04-01-01-02-01.wav,3.57,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-04-01-02-01-01.wav,3.503,angry,RAVDESS
