path,duration,emotion,dataset
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_back_angry.wav,1.539,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_bar_angry.wav,1.617,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_base_angry.wav,1.542,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_bath_angry.wav,1.607,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_bean_angry.wav,1.395,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_beg_angry.wav,1.546,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_bite_angry.wav,1.431,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_boat_angry.wav,1.327,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_bone_angry.wav,1.665,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_book_angry.wav,1.53,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_bought_angry.wav,1.434,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_burn_angry.wav,1.687,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_cab_angry.wav,1.457,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_calm_angry.wav,1.491,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_came_angry.wav,1.635,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_cause_angry.wav,1.696,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_chain_angry.wav,1.601,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_chair_angry.wav,1.614,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_chalk_angry.wav,1.395,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_chat_angry.wav,1.448,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_check_angry.wav,1.646,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_cheek_angry.wav,1.682,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_chief_angry.wav,1.624,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_choice_angry.wav,1.526,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_cool_angry.wav,1.486,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_dab_angry.wav,1.567,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_date_angry.wav,1.457,angry,TESS
